TIMESTAMP,ContextTokens,GeneratedTokens
2024-01-01 00:43:59.822221,6419,3
2024-01-01 00:43:59.983276,1935,19
2024-01-01 00:44:00.010952,7158,3
2024-01-01 00:44:00.031231,6794,3
2024-01-01 00:44:00.084821,6185,3
2024-01-01 00:44:00.172185,5765,589
2024-01-01 00:44:00.355743,13709,532
2024-01-01 00:44:00.374940,2292,1
2024-01-01 00:44:00.846947,3148,22
2024-01-01 00:44:00.955511,4598,21
2024-01-01 00:44:00.976744,6274,3
2024-01-01 00:44:01.012069,4780,777
2024-01-01 00:44:01.027537,23655,271
2024-01-01 00:44:01.115249,9992,316
2024-01-01 00:44:01.311955,3146,18
2024-01-01 00:44:01.399550,6774,46
2024-01-01 00:44:01.410889,5786,495
2024-01-01 00:44:01.480434,7112,671
2024-01-01 00:44:01.675865,7533,633
2024-01-01 00:44:01.734724,1126,328
2024-01-01 00:44:01.862409,6206,3
2024-01-01 00:44:01.864246,895,382
2024-01-01 00:44:01.956844,3137,16
2024-01-01 00:44:02.028846,1635,322
2024-01-01 00:44:02.084464,7956,3
2024-01-01 00:44:02.218189,1499,742
2024-01-01 00:44:02.227645,6167,3
2024-01-01 00:44:02.335738,3978,23
2024-01-01 00:44:02.794717,7176,3
2024-01-01 00:44:02.840754,4723,513
2024-01-01 00:44:02.926506,3118,14
2024-01-01 00:44:03.016925,2943,17
2024-01-01 00:44:03.031015,11809,513
2024-01-01 00:44:03.521880,16275,661
2024-01-01 00:44:03.581779,18290,734
2024-01-01 00:44:03.611646,2735,96
2024-01-01 00:44:04.077176,19850,473
2024-01-01 00:44:04.195859,13962,318
2024-01-01 00:44:04.287383,6620,45
2024-01-01 00:44:04.586964,7275,28
2024-01-01 00:44:04.684076,7053,3
2024-01-01 00:44:04.882627,2306,514
2024-01-01 00:44:05.034423,6562,3
2024-01-01 00:44:05.702039,4870,328
2024-01-01 00:44:05.832854,58740,2000
2024-01-01 00:44:05.982770,896,224
2024-01-01 00:44:06.058729,3140,22
2024-01-01 00:44:06.077470,6923,90
2024-01-01 00:44:06.585488,6175,3
2024-01-01 00:44:06.594617,4533,159
2024-01-01 00:44:06.637324,4259,20
2024-01-01 00:44:06.793440,6182,3
2024-01-01 00:44:06.826738,1368,369
2024-01-01 00:44:06.951148,2738,419
2024-01-01 00:44:07.153895,17585,486
2024-01-01 00:44:07.179508,6942,3
2024-01-01 00:44:07.372475,5835,849
2024-01-01 00:44:07.520629,1622,515
2024-01-01 00:44:07.560467,3130,18
2024-01-01 00:44:08.118286,6618,25
2024-01-01 00:44:08.160923,6177,28
2024-01-01 00:44:08.593938,6548,3
2024-01-01 00:44:08.636230,6216,3
2024-01-01 00:44:08.670511,7415,3
2024-01-01 00:44:08.725046,6506,3
2024-01-01 00:44:08.733078,6187,3
2024-01-01 00:44:08.781977,7794,38
2024-01-01 00:44:08.877704,13793,407
2024-01-01 00:44:08.902508,6435,27
2024-01-01 00:44:09.002573,19030,286
2024-01-01 00:44:09.079672,7242,37
2024-01-01 00:44:09.177848,6779,38
2024-01-01 00:44:09.311545,6168,27
2024-01-01 00:44:09.380680,6176,39
2024-01-01 00:44:09.446202,6170,27
2024-01-01 00:44:09.658256,32147,774
2024-01-01 00:44:09.686378,6459,28
2024-01-01 00:44:09.815251,3181,20
2024-01-01 00:44:09.828515,906,235
2024-01-01 00:44:09.966945,3112,21
2024-01-01 00:44:10.124898,897,304
2024-01-01 00:44:10.127206,4157,21
2024-01-01 00:44:10.519042,6696,3
2024-01-01 00:44:10.640586,3139,17
2024-01-01 00:44:10.704522,918,72
2024-01-01 00:44:10.749572,1840,465
2024-01-01 00:44:10.875677,7036,3
2024-01-01 00:44:10.889963,6165,26
2024-01-01 00:44:11.143466,3132,17
2024-01-01 00:44:11.487862,3164,21
2024-01-01 00:44:11.520226,2567,53
2024-01-01 00:44:11.531139,37012,317
2024-01-01 00:44:11.764962,1878,65
2024-01-01 00:44:11.936318,18799,361
2024-01-01 00:44:12.003954,7849,354
2024-01-01 00:44:12.123101,9827,396
2024-01-01 00:44:12.136689,19955,300
2024-01-01 00:44:12.347292,4289,18
